,City,Country,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(MPH),Date
108,Darhan,MN,49.49,105.92,47.83,99,92,13.76,2018-09-10 16:06:40
109,Flin Flon,CA,54.77,-101.88,44.6,93,90,10.29,2018-09-10 15:00:00
110,Nikolskoye,RU,59.7,30.79,64.4,55,20,8.95,2018-09-10 15:00:00
111,Dunedin,NZ,-45.87,170.5,36.58,100,0,4.14,2018-09-10 16:01:27
112,Ancud,CL,-41.87,-73.83,51.43,84,88,3.58,2018-09-10 16:03:36
113,Hithadhoo,MV,-0.6,73.08,84.46,100,56,9.62,2018-09-10 15:35:52
114,Ichinoseki,JP,38.93,141.13,59.26,100,100,2.8,2018-09-10 16:06:41
115,Puerto Escondido,MX,15.86,-97.07,78.8,74,75,6.93,2018-09-10 14:45:00
116,Aykhal,RU,65.95,111.51,24.43,76,0,4.03,2018-09-10 16:05:53
117,Churachandpur,IN,24.33,93.67,71.41,90,64,0.89,2018-09-10 16:06:42
118,Vaini,IN,15.34,74.49,70.33,95,68,3.58,2018-09-10 15:35:44
119,Ustye,RU,58.76,27.79,66.55,85,64,9.17,2018-09-10 16:06:43
120,Manitouwadge,CA,49.12,-85.84,57.2,76,75,12.75,2018-09-10 15:00:00
121,Ribeira Grande,PT,38.52,-28.7,78.8,83,20,5.82,2018-09-10 15:00:00
122,Berlevag,NO,70.86,29.09,65.59,63,0,14.99,2018-09-10 15:50:00
123,Bonoua,CI,5.27,-3.6,82.4,78,40,10.29,2018-09-10 15:30:00
124,Yar-Sale,RU,66.83,70.83,39.55,100,24,9.4,2018-09-10 15:57:28
125,Westport,IE,53.8,-9.52,55.4,100,90,13.87,2018-09-10 15:30:00
126,Hilo,US,19.71,-155.08,59.02,84,90,4.7,2018-09-10 14:56:00
127,Ocho Rios,JM,18.41,-77.1,87.8,70,20,6.93,2018-09-10 15:00:00
128,Cagli,IT,43.55,12.65,80.67,65,0,6.93,2018-09-10 15:20:00
129,Uddevalla,SE,58.35,11.94,61.74,63,40,14.99,2018-09-10 15:50:00
130,Juegang,CN,32.31,121.18,73.03,97,92,6.82,2018-09-10 16:06:45
131,Gari,RU,59.43,62.35,46.12,57,44,3.69,2018-09-10 16:06:45
132,Hermanus,ZA,-34.42,19.24,71.23,33,0,3.36,2018-09-10 15:35:54
133,Vardo,US,39.62,-77.74,60.44,82,90,6.93,2018-09-10 15:49:00
134,Upernavik,GL,72.79,-56.15,35.86,100,88,0.78,2018-09-10 15:56:36
135,Kaitangata,NZ,-46.28,169.85,40.45,92,0,7.94,2018-09-10 16:04:23
136,Pato Branco,BR,-26.23,-52.67,81.76,40,0,8.72,2018-09-10 16:06:46
137,Limulunga,ZM,-15.13,23.15,85.09,16,0,7.94,2018-09-10 16:06:47
138,Port Lincoln,AU,-34.72,135.86,61.06,70,0,21.47,2018-09-10 16:03:52
139,Curuguaty,PY,-24.47,-55.69,87.88,35,0,2.8,2018-09-10 16:06:48
140,Asyut,EG,27.18,31.19,91.4,31,0,11.41,2018-09-10 15:00:00
141,Upata,VE,8.02,-62.41,78.43,100,68,3.69,2018-09-10 16:06:49
142,Pacific Grove,US,36.62,-121.92,54.88,100,90,3.24,2018-09-10 15:35:00
143,Faanui,PF,-16.48,-151.75,76.81,100,76,9.62,2018-09-10 15:35:56
144,Nichlaul,IN,27.32,83.73,77.26,93,68,2.46,2018-09-10 16:06:50
145,Kijang,KR,35.24,129.21,66.2,68,40,10.29,2018-09-10 15:00:00
146,Tacuarembo,UY,-31.73,-55.98,65.2,84,32,14.54,2018-09-10 16:06:50
147,Esperance,TT,10.24,-61.45,89.6,62,20,11.41,2018-09-10 15:00:00
148,Chernyshevskiy,RU,63.01,112.47,42.7,85,92,4.81,2018-09-10 16:06:51
149,Sobolevo,RU,54.43,31.9,63.94,69,80,12.97,2018-09-10 16:06:51
150,Erdenet,MN,49.03,104.04,42.7,99,92,6.38,2018-09-10 16:06:52
151,Bathsheba,BB,13.22,-59.52,87.8,66,40,13.87,2018-09-10 15:00:00
152,Emporia,US,38.4,-96.18,66.02,81,1,4.36,2018-09-10 14:53:00
153,Okhotsk,RU,59.36,143.24,47.11,100,92,1.12,2018-09-10 16:01:41
154,Grand Gaube,MU,-20.01,57.66,71.6,73,40,11.41,2018-09-10 15:00:00
155,Nanortalik,GL,60.14,-45.24,40.27,98,12,27.4,2018-09-10 15:51:36
156,Ambam,NG,9.52,8.32,69.16,100,92,4.25,2018-09-10 16:06:53
157,Richards Bay,ZA,-28.77,32.06,64.39,78,0,7.27,2018-09-10 16:03:33
158,Riyadh,SA,24.63,46.72,104.0,8,0,8.05,2018-09-10 15:00:00
159,Cherskiy,RU,68.75,161.3,54.58,56,20,5.93,2018-09-10 15:51:17
160,Torbay,CA,47.66,-52.73,57.2,54,40,6.93,2018-09-10 15:00:00
161,Otavi,NA,-19.64,17.34,78.34,20,0,4.36,2018-09-10 16:06:54
162,Galesong,ID,-5.32,119.37,78.8,50,20,2.24,2018-09-10 15:30:00
163,Calama,CL,-22.46,-68.93,73.4,4,0,5.82,2018-09-10 15:00:00
164,Butembo,CD,0.12,29.29,72.58,72,12,1.68,2018-09-10 16:06:55
165,Tura,IN,25.52,90.21,74.38,99,92,1.79,2018-09-10 15:51:33
166,Geraldton,CA,49.72,-86.95,62.6,63,40,19.46,2018-09-10 15:00:00
167,Souillac,FR,45.6,-0.6,80.6,44,0,9.17,2018-09-10 15:30:00
168,Sioux Lookout,CA,50.1,-91.92,59.7,87,90,12.75,2018-09-10 15:00:00
169,Nhulunbuy,AU,-12.18,136.78,69.8,94,0,9.62,2018-09-10 15:00:00
170,Tiznit,MA,29.7,-9.73,74.2,83,0,6.04,2018-09-10 15:59:37
171,Lata,IN,30.78,78.62,58.99,100,24,1.34,2018-09-10 15:37:09
172,Yarmouth,GB,50.71,-1.5,66.58,59,20,14.99,2018-09-10 15:50:00
173,Aketi,CD,2.74,23.78,80.14,79,48,4.7,2018-09-10 16:06:57
174,Beloha,MG,-25.17,45.06,64.75,98,100,12.41,2018-09-10 16:03:53
175,Barrow,AR,-38.31,-60.23,51.43,100,88,11.41,2018-09-10 15:33:36
176,Opuwo,NA,-18.06,13.84,84.55,17,0,7.27,2018-09-10 16:06:58
177,Bandarbeyla,SO,9.49,50.81,74.29,79,0,29.3,2018-09-10 16:06:58
178,Paamiut,GL,61.99,-49.67,39.73,100,24,14.99,2018-09-10 16:04:44
179,Aklavik,CA,68.22,-135.01,36.32,93,90,9.17,2018-09-10 15:35:00
180,Padang,ID,-0.92,100.36,82.03,100,64,3.13,2018-09-10 15:57:40
181,Nangka,MY,6.78,116.79,77.0,88,75,2.24,2018-09-10 15:00:00
182,Avarua,CK,-21.21,-159.78,69.8,88,20,3.36,2018-09-10 15:00:00
183,Bethel,US,60.79,-161.76,41.0,95,90,6.93,2018-09-10 15:27:00
184,Srednekolymsk,RU,67.46,153.71,55.48,53,68,6.04,2018-09-10 16:01:30
185,Arraial do Cabo,BR,-22.97,-42.02,77.0,57,20,11.41,2018-09-10 15:00:00
186,Simpang,MY,4.82,100.71,77.95,94,75,1.12,2018-09-10 15:00:00
187,Kayerkan,RU,69.35,87.76,36.31,93,68,17.78,2018-09-10 16:01:42
188,Kozhevnikovo,RU,56.26,83.98,42.79,90,64,9.95,2018-09-10 16:07:01
189,Terney,RU,45.05,136.61,55.3,97,0,9.17,2018-09-10 16:07:01
190,Abbeyfeale,IE,52.38,-9.3,60.8,93,75,9.17,2018-09-10 15:30:00
191,Cockburn Town,TC,21.46,-71.14,82.75,99,0,11.18,2018-09-10 16:04:30
192,Ahipara,NZ,-35.17,173.16,53.68,100,76,5.14,2018-09-10 15:52:25
193,Maltahohe,NA,-24.83,16.98,79.69,9,0,12.08,2018-09-10 16:07:02
194,Rio Grande,BR,-32.03,-52.1,64.4,72,90,17.22,2018-09-10 15:00:00
195,Port Alfred,ZA,-33.59,26.89,66.73,82,0,7.05,2018-09-10 15:35:22
196,Te Anau,NZ,-45.41,167.72,38.47,93,48,2.13,2018-09-10 15:51:31
197,Tazovskiy,RU,67.47,78.7,34.24,66,0,15.77,2018-09-10 16:00:43
198,Oranjestad,AW,12.52,-70.03,87.8,66,75,21.92,2018-09-10 15:00:00
199,Provideniya,RU,64.42,-173.23,45.58,100,68,1.68,2018-09-10 16:03:38
200,Plymouth,GB,50.37,-4.14,67.1,68,75,14.99,2018-09-10 15:50:00
201,Lavrentiya,RU,65.58,-170.99,41.35,100,44,4.92,2018-09-10 15:37:26
202,Sabang,PH,13.72,123.58,78.97,98,24,4.36,2018-09-10 16:03:24
203,Sibu,MY,2.29,111.83,78.8,88,75,3.58,2018-09-10 15:00:00
204,Samarai,PG,-10.62,150.67,77.8,98,88,21.81,2018-09-10 16:07:04
205,Mandalgovi,MN,45.76,106.27,52.24,33,0,15.77,2018-09-10 16:07:04
206,Port Hedland,AU,-20.31,118.58,69.8,68,0,10.29,2018-09-10 15:30:00
207,Kikwit,CD,-5.04,18.82,83.11,75,44,5.14,2018-09-10 16:07:05
208,Lichuan,CN,30.3,108.94,56.11,84,24,2.01,2018-09-10 16:07:05
209,Taloqan,AF,36.74,69.54,62.32,57,0,1.45,2018-09-10 16:07:06
210,Mingshui,CN,22.81,109.89,73.48,86,0,2.35,2018-09-10 16:07:06
211,Floriano,BR,-6.77,-43.02,96.7,28,0,12.19,2018-09-10 16:02:41
212,Seoul,KR,37.57,126.98,67.26,67,20,5.82,2018-09-10 15:58:00
213,Odienne,CI,9.51,-7.57,79.33,98,76,4.59,2018-09-10 16:07:07
214,Bouloupari,NC,-21.87,166.05,59.0,93,0,7.05,2018-09-10 15:30:00
215,Magna,FR,43.5,0.96,80.6,47,0,9.17,2018-09-10 16:00:00
216,Sitka,US,37.17,-99.65,65.38,88,0,6.82,2018-09-10 16:03:47
217,Oyama,JP,36.31,139.8,69.08,100,75,14.99,2018-09-10 15:16:00
218,Makakilo City,US,21.35,-158.09,73.09,90,75,3.69,2018-09-10 15:26:00
219,Kozmodemyansk,RU,56.33,46.55,53.6,76,0,4.47,2018-09-10 15:30:00
220,Half Moon Bay,US,37.46,-122.43,57.54,93,1,10.18,2018-09-10 15:40:00
221,Altay,CN,47.83,88.13,28.93,83,0,1.57,2018-09-10 16:07:09
222,Jablah,SY,35.36,35.93,80.6,61,40,4.7,2018-09-10 16:00:00
223,Junction City,US,39.03,-96.83,66.02,79,1,4.47,2018-09-10 14:56:00
224,Maniitsoq,GL,65.42,-52.9,37.39,100,80,8.95,2018-09-10 16:06:37
225,Sao Goncalo do Sapucai,BR,-21.89,-45.6,77.98,55,0,4.7,2018-09-10 16:05:18
226,Naze,NG,5.43,7.07,78.79,92,80,6.6,2018-09-10 16:01:46
227,Narsaq,GL,60.91,-46.05,44.6,70,20,9.17,2018-09-10 15:50:00
228,Sassandra,CI,4.95,-6.09,75.73,97,32,5.93,2018-09-10 15:57:37
229,High Rock,BS,26.63,-78.28,86.0,79,75,2.24,2018-09-10 15:00:00
230,Kavaratti,IN,10.57,72.64,82.66,100,0,9.17,2018-09-10 16:01:37
231,Tarko-Sale,RU,64.92,77.78,36.49,78,76,16.89,2018-09-10 16:07:13
232,Vanimo,PG,-2.67,141.3,82.21,100,76,7.05,2018-09-10 16:04:18
233,Leningradskiy,RU,69.38,178.42,53.05,66,68,7.16,2018-09-10 16:05:17
234,Mitsamiouli,KM,-11.38,43.28,80.6,57,20,16.11,2018-09-10 15:00:00
235,San Andres,PH,13.32,122.68,83.29,100,32,8.16,2018-09-10 16:07:14
236,Lethem,GY,3.38,-59.8,84.01,100,24,4.7,2018-09-10 16:07:15
237,Broken Hill,AU,-31.97,141.45,49.09,69,0,2.91,2018-09-10 16:03:32
238,Quatre Cocos,MU,-20.21,57.76,71.6,73,40,11.41,2018-09-10 15:00:00
239,Hasaki,JP,35.73,140.83,68.79,100,75,16.11,2018-09-10 15:30:00
240,Manzanillo,CU,20.34,-77.12,83.65,100,48,10.18,2018-09-10 16:07:16
241,Manjacaze,MZ,-24.71,33.88,70.33,55,0,12.08,2018-09-10 16:08:15
242,Yining,CN,29.04,114.56,62.59,81,88,2.13,2018-09-10 16:07:17
243,Glyadyanskoye,RU,54.91,65.09,49.9,64,92,7.05,2018-09-10 16:07:18
244,Tecoanapa,MX,16.99,-99.26,78.8,88,75,3.36,2018-09-10 14:47:00
245,Tacoronte,ES,28.48,-16.41,73.89,77,75,18.34,2018-09-10 16:00:00
246,Roebourne,AU,-20.77,117.15,73.12,42,0,11.52,2018-09-10 16:07:19
247,Zhigansk,RU,66.77,123.37,37.48,79,12,8.72,2018-09-10 16:07:19
248,Adrar,DZ,27.87,-0.29,111.2,10,40,12.75,2018-09-10 15:00:00
249,Mortka,RU,59.33,66.02,44.68,56,92,5.82,2018-09-10 16:07:20
250,Freeport,BS,26.54,-78.7,86.0,79,75,2.24,2018-09-10 15:00:00
251,Atengo,MX,20.18,-99.33,60.79,89,48,3.36,2018-09-10 16:07:20
252,Broome,GB,52.47,1.45,65.91,55,20,12.75,2018-09-10 15:56:00
253,Itoman,JP,26.12,127.67,79.74,97,40,4.7,2018-09-10 15:56:00
254,Yulara,AU,-25.24,130.99,51.8,15,0,1.12,2018-09-10 15:00:00
255,Mahebourg,MU,-20.41,57.7,71.6,73,40,11.41,2018-09-10 15:00:00
256,Milkovo,BG,41.53,24.68,80.6,32,56,9.17,2018-09-10 15:30:00
257,Provost,CA,52.35,-110.26,45.67,81,88,9.51,2018-09-10 16:05:49
258,Guadalajara,ES,40.63,-3.16,80.96,34,40,5.82,2018-09-10 15:30:00
259,Bay Roberts,CA,47.58,-53.28,57.2,54,40,6.93,2018-09-10 15:00:00
260,Bilibino,RU,68.06,166.44,51.16,79,56,4.03,2018-09-10 16:07:23
261,Beringovskiy,RU,63.05,179.32,50.71,98,20,6.38,2018-09-10 16:01:27
262,Puerto Narino,CO,-3.77,-70.38,75.2,100,75,2.24,2018-09-10 15:00:00
263,Guerrero Negro,MX,27.97,-114.04,71.68,96,0,4.03,2018-09-10 16:01:03
264,Coolum Beach,AU,-26.53,153.09,62.41,96,8,8.16,2018-09-10 16:07:25
265,Ruangwa,TZ,-10.07,38.93,80.32,49,0,5.7,2018-09-10 16:07:25
266,Kailua,US,21.39,-157.74,72.97,90,75,3.69,2018-09-10 15:26:00
267,Roshchino,RU,55.31,61.27,48.2,76,40,2.24,2018-09-10 15:30:00
268,Kozhva,RU,65.11,57.05,45.76,92,92,4.92,2018-09-10 16:07:27
269,Port Hueneme,US,34.15,-119.2,66.4,81,90,2.68,2018-09-10 15:14:00
270,Mikasa,JP,43.25,141.9,50.0,87,20,6.93,2018-09-10 15:30:00
271,Chokurdakh,RU,70.62,147.9,49.36,58,12,15.43,2018-09-10 16:03:05
272,Kuantan,MY,3.82,103.33,75.2,94,75,4.7,2018-09-10 15:00:00
273,Moyale,ET,3.52,39.05,78.79,55,0,9.51,2018-09-10 16:07:28
274,Touros,BR,-5.2,-35.46,84.28,68,68,20.8,2018-09-10 16:03:52
275,Isangel,VU,-19.55,169.27,71.77,100,64,5.93,2018-09-10 16:04:09
276,Muscle Shoals,US,34.75,-87.67,67.5,82,90,5.82,2018-09-10 15:55:00
277,Luderitz,NA,-26.65,15.16,61.15,78,0,3.58,2018-09-10 15:59:38
278,Nichinan,JP,31.65,131.31,73.93,100,20,11.18,2018-09-10 16:07:29
279,Marawi,PH,8.0,124.29,68.53,99,48,1.23,2018-09-10 16:07:29
280,Fort Nelson,CA,58.81,-122.69,28.4,100,75,1.34,2018-09-10 15:06:00
281,Williston,US,48.15,-103.62,65.86,45,1,3.36,2018-09-10 15:56:00
282,Lagoa,PT,37.14,-8.45,80.6,57,20,16.11,2018-09-10 15:30:00
283,Port Augusta,AU,-32.49,137.76,62.6,23,0,9.17,2018-09-10 15:00:00
284,Ambulu,ID,-8.35,113.61,74.92,100,64,6.71,2018-09-10 16:07:30
285,Ostrovnoy,RU,68.05,39.51,55.93,69,20,12.53,2018-09-10 16:04:29
286,Jeremie,HT,18.65,-74.12,86.26,83,0,4.14,2018-09-10 16:07:31
287,Puerto Cabello,VE,10.47,-68.01,76.9,88,68,3.36,2018-09-10 16:07:32
288,San Pedro,AR,-33.68,-59.66,66.46,63,0,9.84,2018-09-10 16:04:02
289,Dingle,PH,11.0,122.67,75.01,92,44,1.12,2018-09-10 16:04:30
290,Hobyo,SO,5.35,48.53,79.6,74,0,22.37,2018-09-10 16:04:15
291,Vyartsilya,RU,62.18,30.69,59.17,73,24,10.07,2018-09-10 16:07:32
292,Heide,DE,54.19,9.09,63.81,63,75,9.17,2018-09-10 15:20:00
293,Salalah,OM,17.01,54.1,77.0,94,75,8.05,2018-09-10 14:50:00
294,Gat,SN,14.69,-16.54,89.6,70,75,11.41,2018-09-10 15:00:00
295,Cabedelo,BR,-6.97,-34.84,80.6,78,90,18.34,2018-09-10 15:00:00
296,Calcinato,IT,45.46,10.41,84.18,48,20,5.82,2018-09-10 15:20:00
297,Saint Anthony,US,43.97,-111.68,53.89,9,1,5.82,2018-09-10 14:56:00
298,Ganzhou,CN,25.86,114.93,67.09,84,20,2.57,2018-09-10 16:07:35
299,Talnakh,RU,69.49,88.39,35.59,100,64,13.2,2018-09-10 16:03:13
300,Vila Velha,BR,-3.71,-38.6,89.6,49,0,21.92,2018-09-10 15:19:00
301,Kaeo,NZ,-35.1,173.78,46.93,100,64,3.69,2018-09-10 16:07:36
302,Atchison,US,39.56,-95.12,70.36,73,1,3.36,2018-09-10 15:53:00
303,Dzialdowo,PL,53.24,20.17,71.23,57,8,4.14,2018-09-10 16:07:36
304,Ciro Marina,IT,39.37,17.13,82.4,51,0,4.7,2018-09-10 14:50:00
305,Pasinler,TR,39.98,41.67,55.4,76,75,8.05,2018-09-10 15:20:00
306,Xining,CN,36.62,101.77,46.3,93,92,1.23,2018-09-10 16:03:50
